Program,Title,Sections Found
bsc_chemistry,b.sc. chemistry sem.-ii_1,"unit_details, textbooks"
bsc_chemistry,b.sc. chemistry sem.-iii_1,"unit_details, textbooks"
bsc_chemistry,b.sc. chemistry-sem.-iv_1,"unit_details, textbooks"
bsc_chemistry,b.sc. chemistry-sem.-v_1,"unit_details, textbooks"
bsc_chemistry,b.sc. chemistry-sem.-vi_1,"unit_details, textbooks"
bsc_cs,NEP_BSc_CS_Sem1_Syllabus_CS_2024-25-1-16,"assessment, unit_details"
bsc_cs,NEP_BSc_CS_Sem2_Syllabus_CS_2024-25-17-29,"unit_details, assessment"
bsc_cs,NEP_Bsc_CS_Sem3_Syllabus_CS_2024-25,"assessment, unit_details"
bsc_cs,NEP_Bsc_CS_Sem4_Syllabus_CS_2024-25,"unit_details, assessment"
bsc_cs,bsc_cs_sem-5,"unit_details, assessment"
bsc_cs,bsc_cs_sem-6,assessment
bsc_it,NEP_BSc_IT_Sem1_Syllabus_IT_2024-25,"assessment, unit_details"
bsc_it,NEP_BSc_IT_Sem2_Syllabus_IT_2024-25,"unit_details, assessment"
bsc_it,NEP_Bsc_IT_Sem3_Syllabus_IT_2024-25,"assessment, unit_details"
bsc_it,NEP_Bsc_IT_Sem4_Syllabus_IT_2024-25,"unit_details, assessment"
bsc_it,bsc_it_sem-5,"unit_details, assessment, textbooks"
bsc_it,bsc_it_sem-6,assessment
bsc_mb,b.sc. mb sem 2,"assessment, unit_details, textbooks"
bsc_mb,b.sc. mb sem 3,"assessment, unit_details, textbooks"
bsc_mb,b.sc. mb sem 4,"assessment, unit_details, textbooks"
bsc_mb,b.sc. mb sem 5,"assessment, unit_details, textbooks"
bsc_mb,b.sc. mb sem 6,"assessment, unit_details, textbooks"
msc_ac,msc_ac_sem-1-1-4,"unit_details, assessment"
msc_ac,msc_ac_sem-1-5-30,"unit_details, assessment"
msc_ac,msc_ac_sem-2,"unit_details, assessment"
msc_ac,msc_ac_sem-3,"unit_details, assessment"
msc_ac,msc_ac_sem-4,assessment
msc_biotech,m.sc. biotechnology sem-1,
msc_clinical_embryology,M-sc- Clinical Embryology Semester -1,"unit_details, assessment, textbooks"
msc_clinical_embryology,M-Sc- Clinical embryology Semester 2,"unit_details, textbooks"
msc_genetics,m.sc.genetics sem-1,
msc_genetics,m.sc. genetics sem-2,
msc_genetics,m.sc. genetics sem-3,
msc_genetics,m.sc. genetics sem-4,
msc_it,msc_it_sem-1-1-6,"unit_details, assessment"
msc_it,msc_it_sem-1-7-33,"unit_details, assessment"
msc_it,msc_it_sem-2,"unit_details, assessment"
msc_it,msc_it_sem-3_1,"unit_details, assessment"
msc_it,msc_it_sem-4,assessment
msc_mb,m.sc. mb sem 1,"assessment, unit_details, textbooks"
msc_mb,m.sc. mb sem 2,"assessment, unit_details, textbooks"
msc_mb,m.sc. mb sem 3,"assessment, unit_details, textbooks"
msc_mb,m.sc. mb sem 4,assessment
msc_medical_bt,m.sc. medical bt sem-1,
msc_medical_bt,m.sc. medical bt sem-2,
msc_medical_bt,m.sc. medical bt sem-3,
msc_medical_bt,m.sc. medical bt sem-4,
msc_organic_chemistry,m.sc. organic chemistry semester - iii_1,unit_details
msc_organic_chemistry,m.sc. organic chemistry semester - ii_1,"unit_details, textbooks"
msc_organic_chemistry,m.sc. organic chemistry semester - iv_1,"unit_details, textbooks"
msc_organic_chemistry,m.sc. organic chemistry semester - i_1,"unit_details, assessment"
msc_wmt,msc_wmt_sem-1-1-6,assessment
msc_wmt,msc_wmt_sem-1-7-33,"unit_details, assessment"
msc_wmt,msc_wmt_sem-2,"unit_details, assessment"
msc_wmt,msc_wmt_sem-3,"unit_details, assessment"
msc_wmt,msc_wmt_sem-4,assessment
pgdmlt,pgdmlt sem-1 syllabus_1,"assessment, unit_details, textbooks, course_outcomes"
pgdmlt,pgdmltsem-2 syllabus_1,"assessment, unit_details, textbooks, course_outcomes"
unknown,bt-ch-mb-sem1-merged,"unit_details, textbooks, course_outcomes"
unknown,m.sc. biotech sem-2,
unknown,m.sc. biotech sem-3,
unknown,m.sc. biotech sem-4,
